web-scraper-order,web-scraper-start-url,properties,properties-href,address,bed,bath,sqft,price
"1656273411-249","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1140-Beech-St_Marietta_GA_30062_M66521-56493","1140 Beech St, Marietta, GA 30062","2","1","null","$299,900"
"1656272594-121","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1774-Hasty-Rd_Marietta_GA_30062_M53171-64114","1774 Hasty Rd, Marietta, GA 30062","3","3","1,424","$385,000"
"1656273270-221","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1606-Glen-Ivy-16_Marietta_GA_30062_M52763-87469","1606 Glen Ivy Unit 16, Marietta, GA 30062","3","2.5","1,873","$429,900"
"1656272123-56","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1709-Kinsmon-Cv_Marietta_GA_30062_M57839-99651","1709 Kinsmon Cv, Marietta, GA 30062","5","3.5","3,800","$850,000"
"1656272418-96","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/3625-Mere-Ln_Marietta_GA_30062_M64823-62007","3625 Mere Ln, Marietta, GA 30062","6","6.5","5,170","$1,450,000"
"1656272396-93","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/3310-Acorn-Falls-Dr_Marietta_GA_30062_M59833-91762","3310 Acorn Falls Dr, Marietta, GA 30062","6","5.5","7,815","$1,599,000"
"1656272329-84","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1716-Paddlewheel-Dr_Marietta_GA_30062_M62668-00755","1716 Paddlewheel Dr, Marietta, GA 30062","2","2.5","1,464","$275,000"
"1656272898-163","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2853-Wendwood-Dr_Marietta_GA_30062_M54867-46898","2853 Wendwood Dr, Marietta, GA 30062","3","2.5","null","$385,000"
"1656272087-51","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3531-Stone-Dr_Marietta_GA_30062_M55722-83608","3531 Stone Dr, Marietta, GA 30062","null","null","null","$725,000"
"1656273179-203","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2447-Lizdionne-Loop_Marietta_GA_30062_M92540-71404","2447 Lizdionne Loop, Marietta, GA 30062","4","4.5","3,659","$969,321"
